Horodateur	Consommez-vous de l'alcool ?	Quel type d'alcool ?	A quelle fréquence ?	Quelle est votre tranche d'âge ?	A quelle catégorie de population pensez-vous appartenir ?	Possédez-vous une cave à vin ?	Combien de bouteilles peut-elle accueillir ?	Avez-vous déjà perdu ou oublié l'existence d'une de vos bouteilles ?	Utilisez-vous une application de gestion pour votre cave ?	Utilisez-vous un cahier pour gérer votre cave ?	Pensez-vous que l'utilisation d'une application gérant votre cave de manière automatique pourrait vous aider ?	Aimeriez-vous pouvoir retrouver une bouteille sans avoir à fouiller dans toute votre cave ?	Avez-vous de bonnes connaissances en vin ?	Selon vous quel est votre niveau en œnologie ?	Aimeriez-vous avoir des recommandations de vins en fonction de vous, vos goûts, vos habitudes etc ?	Aimeriez-vous avoir des recommandations de vins en fonctions des plats que vous allez servir lors d'un repas ?	Aimeriez-vous en apprendre d'avantage sur les vins que vous consommez ?	Sur quel type d'appareil souhaiteriez-vous utiliser cette application ?	Pour avoir cette application quel prix seriez-vous prêt à dépenser chaque mois pour cette application ?	Une version gratuite avec des options supplémentaires en version payante vous conviendrait-elle ?	Auriez-vous des remarques à ajouter ?
94	20/12/2021 23:54:44	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	30 - 45 ans	Cadre	Non	NaN	Non	Non	Non	Non	Non	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
95	20/12/2021 23:57:11	Oui	Vin, Spiritueux, Alcool fort	1	45 - 55 ans	Cadre	Oui	100.0	Oui	Non	Non	Oui	Oui	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
96	20/12/2021 23:59:31	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	55 - 65 ans	Retraité(e)	Oui	300.0	Oui	Non	Non	Non	Oui	Oui	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
97	21/12/2021 00:03:35	Oui	Vin, Bière, Spiritueux, Alcool fort	6	30 - 45 ans	Cadre	Oui	15.0	Non	Non	Non	Non	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
98	21/12/2021 07:22:11	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	45 - 55 ans	Cadre	Non	100.0	Non	Oui	Non	Oui	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Non	NaN
99	21/12/2021 07:39:12	Oui	Vin, Cidre	1	30 - 45 ans	Fonctionnaire	Oui	50.0	Oui	Non	Non	Non	Non	Non	3.0	Non	Oui	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Non	NaN
100	21/12/2021 07:46:47	Oui	Vin, Bière	7	45 - 55 ans	Fonctionnaire	Oui	160.0	Non	Non	Non	Oui	Oui	Oui	6.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Non	Merci
101	21/12/2021 07:51:00	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	45 - 55 ans	Cadre	Oui	50.0	Non	Non	Non	Oui	Oui	Oui	9.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	- de 5€	Non	NaN
102	21/12/2021 08:13:14	Oui	Vin, Bière	1	45 - 55 ans	Cadre	Non	NaN	Oui	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Non	NaN
103	21/12/2021 08:50:07	Oui	Vin	3	30 - 45 ans	Fonctionnaire	Non	NaN	Oui	Non	Oui	Oui	Oui	Oui	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
104	21/12/2021 08:54:47	Oui	Vin, Vin effervescent (Champagne, Clairette de...	7	45 - 55 ans	Cadre	Oui	150.0	Oui	Non	Non	Oui	Non	Non	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	Bonne idée une application de suivi et conseils
105	21/12/2021 10:05:40	Non	Vin effervescent (Champagne, Clairette de Die,...	0	55 - 65 ans	Employé(e)	Non	NaN	Oui	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
106	22/12/2021 21:54:25	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	25 - 30 ans	Cadre	Oui	200.0	Oui	Non	Oui	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	marion.benoit@gadz.org
107	23/12/2021 10:57:56	Non	Aucun	0	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Oui	Oui	Non	0.0	Non	Oui	Non	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	Il pourrait être intéressant de pouvoir achete...
108	23/12/2021 22:35:43	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	45 - 55 ans	Cadre	Non	NaN	Oui	Non	Non	Oui	Oui	Oui	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
109	24/12/2021 19:19:18	Oui	Vin, Bière, Alcool fort, Cidre	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
110	29/12/2021 23:51:16	Non	Aucun	0	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Non	Non	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	La possibilité d'acheter l'application à vie s...
111	31/12/2021 12:34:03	Oui	Vin, Bière, Alcool fort, Cidre	1	30 - 45 ans	Cadre	Non	NaN	Oui	Non	Non	Oui	Oui	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
112	31/12/2021 14:05:23	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	45 - 55 ans	Cadre	Non	NaN	Non	Non	Non	Oui	Oui	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	- de 5€	Oui	NaN
113	03/01/2022 17:15:34	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Oui	Oui	Oui	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
114	03/01/2022 19:22:49	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	2.0	Non	Oui	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
115	07/01/2022 12:58:07	Oui	Vin, Cidre	0	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	10 - 15 €	Oui	NaN
116	07/01/2022 13:11:10	Oui	Alcool fort, Liqueur	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	1.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
117	07/01/2022 17:53:18	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
118	08/01/2022 14:53:00	Oui	Vin, Bière, Spiritueux, Alcool fort, Liqueur	6	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	6.0	Non	Non	Oui	La cave (directement intégré dans la porte)	Gratuit	Non	NaN
119	08/01/2022 20:46:59	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant(e)	Non	NaN	Oui	Non	Non	Non	Non	Oui	7.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
